name,port,header,protocol,status,fill,stroke,refs,image
NJVPWEBFARM01,,,,,#dae8fc,#6c8ebf,"2009GrassRoots_1945719624,2010GrassRoots,AIRS,All Star Flash,AllStarTechTraining,ArenaNetStyle,ASMS,ASMSWebservice,bdr.nba.com.redirect,BEI Phone Forwarder,BEI Voicemail forwarder,BenefitsTipOff (PlayerPension),bizboxscore.redirect,BoxKeyService,BoxKeyServiceRest,BXFLog,Call Log,Call Parrot Redirect,CareerCourt,careercourtdev,CaseManagement,CGMRS,Cisco Phone Forwarder,Cisco Voicemail Forwarder,Citrix,CodeOfConduct,CodeOfConductAdmin,Compliance,Concur-New,ConductAndDiscipline,CorpPhoneDirectory,Courtside Staff,CPAMemotech,CRM Dynamics,CumeStats,DayOfService,DCOAppInventory,DCOAPPREQADMIN,DCOAPPREQUEST (Data Center Operations),DCOCNTRT,DCOInventory,DCOLIC,DealTrack,DigitalSurvey,D-League Game Reports System,Dleague Rosters,DMM,DocMgmtRedirect,E Redbook,EInvoice,EmployeeDirectory,EmpPhotoBrowseTest,EMS,EMS for Blackberry,EMS Redirect,EMSResponseAllStar,ERecognition,eviteNBAAllStar2008,evitenbadraft2009,Game Notes,Game Schedule,Game Schedule Web Service,Game Stats,GameInquiry,GameOps,GiftDisclosure,GLeagueOnboarding,GMGIA China,GMGIAOnline_Internal,GRS 2.0 Web,GRS2.0Webtest,GRSreports,HolidayVoucher,HON Cisco Phone Forwarder,HON Voicemail forwarder,HRDoc,HRreports,IssueLog,itbenefits,ITCentral,JabberPhotos,JHB Phone Forwarder,JHB Voicemail Forwarder,LockerVisionView,London Cisco Phone Forwarder,London Cisco Voicemail Forwarder,LPauth,Mail Log,MediaCentralRegistration,MeetTheExec,Memotech,Mexico Phone Redirect,Mexico Voicemail Redirect,Mobile Call Log,mRedbook,MRS Institutional Plan,Mumphones,mumvoicemail,MyCallPilot Redirect,NBA Corporate Store,NBA Password Management,NBA Rosters,NBA Shuttle,NBA Team Applications - LandingPortal,NBA Team Applications - LandingPortal - SecurityRep,NBA Team Apps_LandingPage TEST,NBA2008Draft,NBA911,NBAACD_Redirect,NBAACD-Reports_Redirect,NBABroadcastManual,NBACollectibles,NBACompliance2014,NBAConnections,NBADMWebServices,NBADOCs_OPS,nbadocs-it,nbadocs-opstech,NBAFinanceReports,NBAFinanceSelfservice,NBAHRSelfService,NBAJobs,NBALogo,NBAOfficialsAdmin,NBAPact,NBAPrintingV2,NBARC_Forwarder,NBARecordCenter,NBARefereePerformanceSVC,NBARefereePerformanceUI,NBASearch,NBAStats,NBDLLogo,Nesbit,netscalertest,OfflineMessage,OIW,OIW Game Report,OIW v2,OIW_4.0,OIW2SAP_Service,OMS,OngoingFeedback,OngoingFeedbackBB,OnLineTraining (dead),OperationsManual,ORSCore,ORSDLeague,ORSPilot,ORSServiceDLeague,ORSWebService,ORSWebserviceV2,orswebservicewnba,ORSWNBA,PATS,PCMS.redirect,PDP,pdpnotesredir,peopleanalytics,peopleanalyticsportal.redirect,peopleanalyticsQA,PeopleSearch,photoscentral,PrismaAccess,ProcurementReq,ProfilePictureService,PSOFTDEVTRACKING,PTI,PTRS,PTRS Service,qa-bizboxscore.redirect,qa-dwhreports.redirect,qa-peopleanalyticsportal.redirect,qa-rightslogic,RefereeInquiry,RefereeInquiry_v2,RefEval,ReplayCenter_Forwarder,ReportCalls,Rightslogic,Rightslogic_dms_redirect,Rightslogic_dmsreports_redirect,Rightslogic_qa-dms_redirect,Rightslogic_qa-dmsreport_redirect,RIO Phones Forwarder,RIO Voicemail Forwarder,SAGE (Security and Game Expense System),SAGE.redirect,SAP Business Object,SB5000,SCW_40,ServerVariables,SHA Phone Forwarder,SHA Voicemail forwarder,SIP Redirect,SIS,SubmitAQuestion,SubmitAQuestionAdmin,SwireTravelBJ,TAIphonesRedirect,TAIvoicemailRedirect,Tdoc (NBADocuments for Legal Deptt),Team Inquiry Website TEST,Team Office List,Teamnet Blackberry,TeamNetStar,teams.nba.comRedirect,TeamTech,teamwikidocs,Techsummit,Test Site,TEST123,TestWildcard,TimeOff,TIW_GL,TIW_V2,TIWPlayoffs,Toronto Phones Forwarder,Toronto Voicemail Forwarder,TPP,TRS4.0,TTOS (Team Ticket Offer System),TWNW,TwnwReport,userdeviceinventory,VideoClipsCreate,VirtualSuggestionBox,VRSBB,VTH,VTHBB,VTHBOG,VTHContent,VTHinternal,VTHInternalBOG,VtOrderSystem,WalkforWellness,wikidocs,Wisetrack,WNBA Broadcast Ops,WNBA Rosters,WNBA TIW,WNBALogo,Year End Game Review",https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-9-2-128.png
2009GrassRoots_1945719624,8167,,http,Started,#d5e8d4,#82b366,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-10-3-128.png
2010GrassRoots,6168,,http,Started,#d5e8d4,#82b366,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
AIRS,8251,,http,Started,#d5e8d4,#82b366,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-3-128.png
All Star Flash,8103,,http,Stopped,#ff4d4d,#82b366,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
AllStarTechTraining,8162,,http,Stopped,#ff4d4d,#82b366,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
ArenaNetStyle,8085,,http,Started,#d5e8d4,#82b366,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
ASMS,8095,,http,Started,#d5e8d4,#82b366,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
ASMSWebservice,80,asmswebservice,http,Started,#d5e8d4,#82b366,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
bdr.nba.com.redirect,8754,,http,Started,#d5e8d4,#82b366,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
